flow_id,src_ip,dst_ip,proto,total_packets,total_bytes,avg_packet_size,min_time,max_time,unique_dst_ports,most_common_dst_port,duration_sec,packets_per_sec,flow_label,flow_threat_score,session_file
10.61.126.212 -> 10.61.126.255 | proto=17.0,10.61.126.212,10.61.126.255,17.0,1,82,82.0,1769007093.3958592,1769007093.3958592,1,57621,0.0,1.0,NORMAL,0,flow_session_20260124_130013.csv
10.61.126.212 -> 10.61.126.28 | proto=6.0,10.61.126.212,10.61.126.28,6.0,100,6000,60.0,1769007073.6971157,1769007073.7151976,1,33705,0.0181,5524.86,FLOOD,58,flow_session_20260124_130013.csv
10.61.126.212 -> 10.61.126.67 | proto=6.0,10.61.126.212,10.61.126.67,6.0,18,1291,71.72222222222223,1769007093.9252272,1769007094.0718436,3,60402,0.1466,122.78,SUSPICIOUS,40,flow_session_20260124_130013.csv
10.61.126.212 -> 224.0.0.22 | proto=2.0,10.61.126.212,224.0.0.22,2.0,5,302,60.4,1769007089.471096,1769007091.5534866,1,0,2.0824,2.4,NORMAL,0,flow_session_20260124_130013.csv
10.61.126.212 -> 224.0.0.251 | proto=17.0,10.61.126.212,224.0.0.251,17.0,6,554,92.33333333333331,1769007061.7451503,1769007096.6485825,1,5353,34.9034,0.17,NORMAL,0,flow_session_20260124_130013.csv
10.61.126.212 -> 239.255.255.250 | proto=17.0,10.61.126.212,239.255.255.250,17.0,5,835,167.0,1769007090.398106,1769007096.7744584,1,1900,6.3764,0.78,NORMAL,0,flow_session_20260124_130013.csv
10.61.126.28 -> 10.61.126.212 | proto=6.0,10.61.126.28,10.61.126.212,6.0,101,5854,57.96039603960397,1769007073.693951,1769007073.711419,100,53,0.0175,5771.43,PORTSCAN,98,flow_session_20260124_130013.csv
10.61.126.67 -> 10.61.126.212 | proto=6.0,10.61.126.67,10.61.126.212,6.0,21,1347,64.14285714285714,1769007093.9225943,1769007094.071844,1,53,0.1492,140.75,SUSPICIOUS,30,flow_session_20260124_130013.csv
10.61.126.67 -> 224.77.77.77 | proto=17.0,10.61.126.67,224.77.77.77,17.0,31,4805,155.0,1769007048.2241426,1769007108.344652,1,12177,60.1205,0.52,NORMAL,0,flow_session_20260124_130013.csv
10.61.126.67 -> 239.255.255.250 | proto=17.0,10.61.126.67,239.255.255.250,17.0,4,848,212.0,1769007078.5190885,1769007081.5779011,1,1900,3.0588,1.31,NORMAL,0,flow_session_20260124_130013.csv
192.168.29.1 -> 192.168.29.152 | proto=17.0,192.168.29.1,192.168.29.152,17.0,1,60,60.0,1769240273.633426,1769240273.633426,1,7,0.0,1.0,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.1 -> 224.0.0.1 | proto=2.0,192.168.29.1,224.0.0.1,2.0,10,600,60.0,1769240258.6071367,1769240312.7144723,1,0,54.1073,0.18,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.190 -> 224.0.0.22 | proto=2.0,192.168.29.190,224.0.0.22,2.0,10,700,70.0,1769240258.7822783,1769240312.8222246,1,0,54.0399,0.19,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.190 -> 224.77.77.77 | proto=17.0,192.168.29.190,224.77.77.77,17.0,3,465,155.0,1769240269.8034675,1769240273.8288808,1,12177,4.0254,0.75,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.3 -> 192.168.29.255 | proto=17.0,192.168.29.3,192.168.29.255,17.0,30,2520,84.0,1769240254.3345947,1769240313.527313,1,5775,59.1927,0.51,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.3 -> 239.255.255.250 | proto=17.0,192.168.29.3,239.255.255.250,17.0,24,8796,366.5,1769240265.76887,1769240266.7942543,1,1900,1.0254,23.41,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.57 -> 224.0.0.251 | proto=17.0,192.168.29.57,224.0.0.251,17.0,4,400,100.0,1769240275.007588,1769240288.1164176,1,5353,13.1088,0.31,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.98 -> 192.168.29.255 | proto=17.0,192.168.29.98,192.168.29.255,17.0,10,3670,367.0,1769240255.9591856,1769240311.060892,1,20002,55.1017,0.18,NORMAL,0,flow_session_20260124_131240.csv
192.168.29.1 -> 192.168.29.152 | proto=17.0,192.168.29.1,192.168.29.152,17.0,1,60,60.0,1769240273.633426,1769240273.633426,1,7,0.0,1.0,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.1 -> 224.0.0.1 | proto=2.0,192.168.29.1,224.0.0.1,2.0,10,600,60.0,1769240258.6071367,1769240312.7144723,1,0,54.1073,0.18,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.190 -> 224.0.0.22 | proto=2.0,192.168.29.190,224.0.0.22,2.0,10,700,70.0,1769240258.7822783,1769240312.8222246,1,0,54.0399,0.19,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.190 -> 224.77.77.77 | proto=17.0,192.168.29.190,224.77.77.77,17.0,3,465,155.0,1769240269.8034675,1769240273.8288808,1,12177,4.0254,0.75,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.3 -> 192.168.29.255 | proto=17.0,192.168.29.3,192.168.29.255,17.0,30,2520,84.0,1769240254.3345947,1769240313.527313,1,5775,59.1927,0.51,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.3 -> 239.255.255.250 | proto=17.0,192.168.29.3,239.255.255.250,17.0,24,8796,366.5,1769240265.76887,1769240266.7942543,1,1900,1.0254,23.41,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.57 -> 224.0.0.251 | proto=17.0,192.168.29.57,224.0.0.251,17.0,4,400,100.0,1769240275.007588,1769240288.1164176,1,5353,13.1088,0.31,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.98 -> 192.168.29.255 | proto=17.0,192.168.29.98,192.168.29.255,17.0,10,3670,367.0,1769240255.9591856,1769240311.060892,1,20002,55.1017,0.18,NORMAL,0,flow_session_20260124_131541.csv
192.168.29.1 -> 192.168.29.152 | proto=17.0,192.168.29.1,192.168.29.152,17.0,1,60,60.0,1769240273.633426,1769240273.633426,1,7,0.0,1.0,NORMAL,0,flow_session_20260124_132201.csv
192.168.29.1 -> 224.0.0.1 | proto=2.0,192.168.29.1,224.0.0.1,2.0,10,600,60.0,1769240258.6071367,1769240312.7144723,1,0,54.1073,0.18,NORMAL,0,flow_session_20260124_132201.csv
